"","V1","V2","V3","V4","V5","V6","V7","V8","V9","Cluster"
"Bra022503","Bra022503","PF02353,PF01209,PF08241,PF08242","PTHR10108","","","","AT1G64970.1","G-TMT,TMT1,VTE4","gamma-tocopherol methyltransferase",2
"Bra039094","Bra039094","","","","","","AT3G27050.1","","",2
"Bra023072","Bra023072","PF03952,PF00113,PF07476","PTHR11902","KOG2670","4.2.1.11","K01689","AT2G36530.1","ENO2,LOS2","Enolase",2
"Bra024312","Bra024312","PF05496,PF00004,PF01434","PTHR23076","KOG0731","","","AT5G64580.1","","AAA-type ATPase family protein",2
"Bra006538","Bra006538","PF00970,PF00175","PTHR19370","KOG0534","1.6.2.2","K00326","AT5G20080.1","","FAD/NAD(P)-binding oxidoreductase",2
"Bra017625","Bra017625","","","","","","AT4G34090.1","","",2
"Bra002422","Bra002422","PF07876","","","","","AT5G22580.1","","Stress responsive A/B Barrel Domain",3
"Bra030922","Bra030922","PF00004,PF07724","PTHR23073","KOG0729","","K03061","AT1G53750.1","RPT1A","regulatory particle triple-A 1A",3
"Bra028543","Bra028543","PF00274","PTHR11627","KOG1557","4.1.2.13","K01623","AT3G52930.1","","Aldolase superfamily protein",3
"Bra033999","Bra033999","PF00237","PTHR11593","KOG3353","","K02880","AT1G67430.1","","Ribosomal protein L22p/L17e family protein",3
"Bra016226","Bra016226","PF11721","PTHR23258","","","","AT1G56130.1","","Leucine-rich repeat transmembrane protein kinase",4
"Bra021067","Bra021067","PF00169,PF06101","PTHR16166","","","","AT4G17140.3","","pleckstrin homology (PH) domain-containing protein",4
"Bra019626","Bra019626","PF00153","PTHR11896","KOG0749","","","AT5G17400.1","ER-ANT1","endoplasmic reticulum-adenine nucleotide transporter 1",4
"Bra000391","Bra000391","PF00067","PTHR19383","KOG0157","","","AT2G45510.1","CYP704A2","cytochrome P450, family 704, subfamily A, polypeptide 2",4
"Bra004101","Bra004101","PF03009","PTHR23344","KOG2258","","","AT4G26690.1","GPDL2,MRH5,SHV3","PLC-like phosphodiesterase family protein",4
"Bra014291","Bra014291","PF01532","PTHR11742","KOG2204","3.2.1.113","K01230","AT1G51590.1","MANIB,MNS1","alpha-mannosidase 1",4
"Bra036593","Bra036593","PF00069,PF07714","PTHR11295","KOG0658","2.7.1.-","K00924","AT5G26751.1","ATSK11,SK 11","shaggy-related kinase 11",4
"Bra002023","Bra002023","PF00180","PTHR11835","KOG0784","1.1.1.41","K00030","AT2G17130.1","IDH-II,IDH2","isocitrate dehydrogenase subunit 2",4
"Bra011500","Bra011500","PF00168","PTHR10024","KOG1030","","","AT4G34150.1","","Calcium-dependent lipid-binding (CaLB domain) family protein",4
"Bra014903","Bra014903","","","","","","AT1G31130.1","","",4
"Bra019122","Bra019122","PF07714,PF00069","PTHR22986","KOG0581","2.7.12.2","K04368","AT4G26070.2","ATMEK1,MEK1,MKK1,NMAPKK","MAP kinase/ ERK kinase 1",4
"Bra034432","Bra034432","PF00481,PF07228","PTHR13832","KOG0698","","","AT1G34750.1","","Protein phosphatase 2C family protein",4
"Bra036316","Bra036316","PF00182","PTHR22595","KOG4742","","","AT4G01700.1","","Chitinase family protein",4
"Bra004537","Bra004537","PF00520,PF00027","PTHR10217","KOG0498","","K05391","AT2G46430.1","ATCNGC3,CNGC3,CNGC3.C","cyclic nucleotide gated channel 3",4
"Bra035574","Bra035574","","","","","","AT5G55450.1","","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein",4
"Bra003239","Bra003239","PF03106","","","","","AT3G56400.1","ATWRKY70,WRKY70","WRKY DNA-binding protein 70",4
"Bra014037","Bra014037","PF00085,PF00578","PTHR10438","KOG0907","","","AT1G45145.1","ATH5,ATTRX5,LIV1,TRX5","thioredoxin H-type 5",4
"Bra012871","Bra012871","PF00320","PTHR22949:SF2","KOG1601","","","AT3G51050.1","","FG-GAP repeat-containing protein",4
"Bra005982","Bra005982","PF02629,PF00549","PTHR11117","KOG1255","6.2.1.4,6.2.1.5","K01899","AT5G08300.1","","Succinyl-CoA ligase, alpha subunit",4
"Bra034556","Bra034556","PF05659,PF00931,PF00560","PTHR23155","KOG4658","","","AT4G33300.1","ADR1-L1","ADR1-like 1",4
"Bra004771","Bra004771","PF00187,PF00182","PTHR22595","KOG4742","","","AT2G43570.1","CHI","chitinase, putative",4
"Bra017019","Bra017019","PF07714,PF00069","PTHR23258","KOG1187","","","AT2G40270.1","","Protein kinase family protein",4
"Bra001662","Bra001662","PF00069,PF07714","PTHR23258","KOG1187","","","AT3G17410.1","","Protein kinase superfamily protein",4
"Bra018543","Bra018543","PF02798,PF00043","PTHR11260","KOG0867","2.5.1.18","K00799","AT2G02930.1","ATGSTF3,GST16,GSTF3","glutathione S-transferase F3",4
"Bra013540","Bra013540","PF08240,PF00107","PTHR11695","KOG1198","","","AT4G21580.1","","oxidoreductase, zinc-binding dehydrogenase family protein",4
"Bra014842","Bra014842","PF06521","","","","","AT3G54040.1","","PAR1 protein",4
"Bra000310","Bra000310","PF00187,PF00182","PTHR22595","KOG4742","","","AT2G43570.1","CHI","chitinase, putative",4
"Bra017633","Bra017633","PF04199","","","","","AT4G34180.1","","Cyclase family protein",4
"Bra002914","Bra002914","","","","","","AT5G55410.2","","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein",4
"Bra012805","Bra012805","PF01764","","","","","AT3G52430.1","ATPAD4,PAD4","alpha/beta-Hydrolases superfamily protein",4
"Bra003273","Bra003273","PF00332","","","","","AT3G57240.1","BG3","beta-1,3-glucanase 3",4
"Bra029107","Bra029107","PF00403","PTHR22814","KOG1603","","","AT5G52760.1","","Copper transport protein family",4
"Bra022610","Bra022610","PF03121,PF02423,PF01488","PTHR13812","KOG3007","","","AT5G52800.3","","DNA primases",4
"Bra013719","Bra013719","PF00069,PF07714,PF00036","PTHR22982","KOG0032","2.7.11.1","K13412","AT4G23650.1","CDPK6,CPK3","calcium-dependent protein kinase 6",4
"Bra014622","Bra014622","PF00675,PF05193","PTHR11851","KOG0959","3.4.24.56","K01408","AT2G41790.1","","Insulinase (Peptidase family M16) family protein",4
"Bra002255","Bra002255","PF02516","PTHR13872","KOG2292","2.4.1.119","K07151","AT5G19690.1","STT3A","staurosporin and temperature sensitive 3-like A",4
"Bra009368","Bra009368","","","","","","AT5G08770.1","","",4
"Bra013507","Bra013507","PF05817","PTHR12640","KOG2447","","","AT4G21150.1","HAP6","ribophorin II (RPN2) family protein",4
"Bra013225","Bra013225","PF00254","PTHR10516","KOG0549","5.2.1.8","K09569","AT3G25220.1","FKBP15-1","FK506-binding protein 15 kD-1",5
"Bra016974","Bra016974","PF03106","","","","","AT2G40750.1","ATWRKY54,WRKY54","WRKY DNA-binding protein 54",5
"Bra020430","Bra020430","PF07887","","","","","AT5G57580.1","","Calmodulin-binding protein",5
"Bra027049","Bra027049","PF03171","PTHR10209","KOG0143","1.14.17.4","K05933","AT1G62380.1","ACO2,ATACO2","ACC oxidase 2",5
"Bra005168","Bra005168","PF00139,PF00069,PF07714","PTHR23258","KOG1187","","","AT2G37710.1","RLK","receptor lectin kinase",5
"Bra014550","Bra014550","PF01095","","","","","AT3G59010.1","PME61","pectin methylesterase 61",5
"Bra034404","Bra034404","PF00560,PF07714,PF00069","PTHR23258","KOG1187","","","AT4G08850.1","","Leucine-rich repeat receptor-like protein kinase family protein",5
"Bra037731","Bra037731","PF04554,PF01190","","","","","AT2G43150.1","","Proline-rich extensin-like family protein",6
"Bra041123","Bra041123","PF00421","","","","K02705","ATCG00280.1","","photosystem II reaction center protein C",6
"Bra019784","Bra019784","PF00097","PTHR14155","","","","AT1G12760.1","","Zinc finger, C3HC4 type (RING finger) family protein",6
"Bra027035","Bra027035","PF00743,PF01946,PF01266,PF03486,PF07992,PF00890,PF01593","PTHR23023","KOG1399","","","AT1G62540.1","FMO GS-OX2","flavin-monooxygenase glucosinolate S-oxygenase 2",6
"Bra033422","Bra033422","PF00179","PTHR11621","KOG0896","","K10704","AT3G52560.1","MMZ4,UEV1D,UEV1D-4","ubiquitin E2 variant 1D-4",6
"Bra003434","Bra003434","PF00168","PTHR10774","","","","AT3G61050.1","NTMC2T4,NTMC2TYPE4","Calcium-dependent lipid-binding (CaLB domain) family protein",6
"Bra022938","Bra022938","PF00076","PTHR10432","KOG4205","","K14411","AT2G33410.1","","RNA-binding (RRM/RBD/RNP motifs) family protein",6
"Bra018573","Bra018573","PF03059","","","2.5.1.43","K05953","AT1G09240.1","ATNAS3,NAS3","nicotianamine synthase 3",6
"Bra000460","Bra000460","PF02798,PF00043","PTHR11260","KOG0867","2.5.1.18","K00799","AT2G47730.1","ATGSTF5,ATGSTF8,GST6,GSTF8","glutathione S-transferase phi 8",6
"Bra024089","Bra024089","PF00722,PF06955","","","2.4.1.207","K08235","AT4G30270.1","MERI-5,MERI5B,SEN4,XTH24","xyloglucan endotransglucosylase/hydrolase 24",6
"Bra029642","Bra029642","PF04564,PF05804,PF00514","PTHR22849","","","","AT3G07360.1","ATPUB9,PUB9","plant U-box 9",6
"Bra002354","Bra002354","PF08263,PF00560","PTHR23258","","","","AT5G21090.1","","Leucine-rich repeat (LRR) family protein",6
"Bra032191","Bra032191","PF07716,PF00170","PTHR13301:SF7","","","","AT1G43700.1","SUE3,VIP1","VIRE2-interacting protein 1",6
"Bra033802","Bra033802","PF05368","PTHR10366","KOG1203","","","AT3G46780.1","PTAC16","plastid transcriptionally active 16",6
"Bra038011","Bra038011","PF01241","","","","","AT1G55670.1","PSAG","photosystem I subunit G",6
"Bra011703","Bra011703","","","","","","AT4G36750.1","","Quinone reductase family protein",6
"Bra005929","Bra005929","PF00612","","","","","AT5G07240.1","IQD24","IQ-domain 24",6
"Bra024848","Bra024848","PF00722,PF06955","","","2.4.1.207","K08235","AT2G01850.1","ATXTH27,EXGT-A3,XTH27","endoxyloglucan transferase A3",6
"Bra008406","Bra008406","PF04146","PTHR12357","KOG1901","","","AT1G79270.1","ECT8","evolutionarily conserved C-terminal region 8",7
"Bra030808","Bra030808","PF03381","PTHR10926","KOG2952","","","AT1G54320.1","","LEM3 (ligand-effect modulator 3) family protein / CDC50 family protein",7
"Bra005974","Bra005974","PF04371","","","3.5.3.12","K10536","AT5G08170.1","ATAIH,EMB1873","porphyromonas-type peptidyl-arginine deiminase family protein",7
"Bra002975","Bra002975","","","","","","AT5G54585.1","","",7
"Bra036155","Bra036155","PF00544","","","4.2.2.2","K01728","AT5G48900.1","","Pectin lyase-like superfamily protein",7
"Bra030843","Bra030843","PF01241","","","","K08905","AT1G55670.1","PSAG","photosystem I subunit G",7
"Bra018955","Bra018955","PF03244","","","","K02695","AT1G52230.1","PSAH-2,PSAH2,PSI-H","photosystem I subunit H2",7
"Bra015520","Bra015520","PF01789","","","","K02717","AT1G06680.1","OE23,OEE2,PSBP-1,PSII-P","photosystem II subunit P-1",7
"Bra003355","Bra003355","PF00285","PTHR11739","KOG2617","","","AT3G58750.1","CSY2","citrate synthase 2",7
"Bra010808","Bra010808","PF01544,PF01984","PTHR10840","KOG3431","","","AT1G29820.1","","Magnesium transporter CorA-like family protein",7
"Bra032344","Bra032344","PF00289,PF02786,PF02787,PF02222,PF07478,PF02142","PTHR11405","KOG0370","6.3.5.5","K01955","AT1G29900.1","CARB","carbamoyl phosphate synthetase B",7
"Bra018407","Bra018407","PF01480","PTHR23148","KOG2146","","K13171","AT2G29210.1","","splicing factor PWI domain-containing protein",7
"Bra009184","Bra009184","PF03168","PTHR19957:SF11","","","","AT5G06320.1","NHL3","NDR1/HIN1-like 3",7
"Bra003086","Bra003086","PF00561","PTHR10992","KOG4178","","","AT5G53050.2","","alpha/beta-Hydrolases superfamily protein",7
"Bra031623","Bra031623","PF00786,PF00620,PF06058","PTHR23177","KOG2868","","","AT1G08370.1","ATDCP1,DCP1","decapping 1",7
"Bra022736","Bra022736","PF00011","PTHR11527","KOG0710","","","AT5G54660.1","","HSP20-like chaperones superfamily protein",8
"Bra023365","Bra023365","PF00031","PTHR11413","","","","AT5G12140.1","ATCYS1,CYS1","cystatin-1",8
"Bra016557","Bra016557","PF10269","PTHR12183","KOG4172","","","AT1G68820.1","","Transmembrane Fragile-X-F-associated protein",8
"Bra033973","Bra033973","","","","","","AT1G67870.1","","glycine-rich protein",8
"Bra037411","Bra037411","PF00917","PTHR10420","KOG1987","","","AT4G00780.1","","TRAF-like family protein",8
"Bra007020","Bra007020","PF01412","PTHR23180","KOG0704","","","AT3G53710.1","AGD6","ARF-GAP domain 6",9
"Bra000587","Bra000587","PF05278","PTHR21704","","","","AT2G20950.1","","Arabidopsis phospholipase-like protein (PEARLI 4) family",9
"Bra033255","Bra033255","PF07714,PF00069","PTHR23258","KOG1187","","","AT1G01540.2","","Protein kinase superfamily protein",9
"Bra036730","Bra036730","PF07851","PTHR21433","KOG4758","","","AT1G33230.1","","TMPIT-like protein",9
"Bra017672","Bra017672","PF02784,PF00278","PTHR11482","","4.1.1.19","K01583","AT4G34710.1","ADC2,ATADC2,SPE2","arginine decarboxylase 2",9
"Bra038165","Bra038165","","","","","","AT1G56420.1","","",9
"Bra012303","Bra012303","PF01399","PTHR15350","KOG3250","","K12180","AT1G02090.1","ATCSN7,COP15,CSN7,FUS5","Proteasome component (PCI) domain protein",9
"Bra025271","Bra025271","","","","","","AT5G40690.1","","",9
"Bra006360","Bra006360","","","","","","AT5G16520.1","","",9
"Bra035848","Bra035848","PF00439,PF00334","PTHR11349","KOG0888","","","AT5G63320.2","NPX1","nuclear protein X1",9
"Bra003034","Bra003034","","","","","","AT5G53800.1","","",9
"Bra010454","Bra010454","PF05903","PTHR12378","KOG0324","","","AT5G52530.1","","dentin sialophosphoprotein-related",9
"Bra014853","Bra014853","PF00234","","","","","AT3G53980.1","","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein",9
"Bra018723","Bra018723","","","","","","AT1G48330.1","","",9
"Bra009600","Bra009600","PF04099,PF04628","PTHR23249","KOG3368","","","AT5G02280.1","","SNARE-like superfamily protein",9
"Bra035864","Bra035864","PF00650","PTHR10174","KOG1470","","","AT5G63060.1","","Sec14p-like phosphatidylinositol transfer family protein",9
"Bra000600","Bra000600","PF05833,PF05670,PF00098,PF11923","PTHR15239","KOG2030","","","AT5G49930.1","emb1441","zinc knuckle (CCHC-type) family protein",9
"Bra008785","Bra008785","PF05753","PTHR12861","KOG3317","","K13250","AT5G14030.1","","translocon-associated protein beta (TRAPB) family protein",9
"Bra009410","Bra009410","PF00122,PF00702,PF08282","PTHR11939","KOG0206","","","AT5G04930.1","ALA1","aminophospholipid ATPase 1",10
"Bra010283","Bra010283","PF00117,PF04204,PF07722","PTHR11922:SF2","KOG3179","","","AT4G30530.1","","Class I glutamine amidotransferase-like superfamily protein",11
"Bra025547","Bra025547","PF01490,PF03222","PTHR22950","KOG1303","","","AT5G40780.2","LHT1","lysine histidine transporter 1",11
"Bra020836","Bra020836","PF00067","PTHR19383","KOG0156","","","AT4G22690.1","CYP706A1","cytochrome P450, family 706, subfamily A, polypeptide 1",11
"Bra021579","Bra021579","PF00560,PF11721,PF07714,PF00069","PTHR23258","KOG1187","","","AT3G14840.2","","Leucine-rich repeat transmembrane protein kinase",11
"Bra040801","Bra040801","PF00909","PTHR11730","KOG0682","","","AT4G13510.1","AMT1;1,ATAMT1,ATAMT1;1","ammonium transporter 1;1",11
"Bra019212","Bra019212*","PF00564,PF00569,PF00627","PTHR20930","KOG4351","","","AT4G24690.1","","ubiquitin-associated (UBA)/TS-N domain-containing protein / octicosapeptide/Phox/Bemp1 (PB1) domain-containing protein",11
"Bra019213","Bra019213*","","","","","","AT4G24680.1","MOS1","modifier of snc1",11
"Bra031041","Bra031041*","PF00249","PTHR10641","","","","AT1G18710.1","AtMYB47,MYB47","myb domain protein 47",11
"Bra031042","Bra031042*","PF04525","","","","","AT5G01750.2","","Protein of unknown function (DUF567)",11
"Bra031044","Bra031044*","PF06127","","KOG3292","","","AT1G18720.1","","Protein of unknown function (DUF962)",11
"Bra036325","Bra036325*","PF04427","PTHR22734","KOG2780","","","AT4G01560.1","MEE49","Ribosomal RNA processing Brix domain protein",11
"Bra036326","Bra036326*","PF02365","","","","","AT4G01550.1","anac069,NAC069","NAC domain containing protein 69",11
"Bra036327","Bra036327*","PF02365","","","","","AT4G01550.1","anac069,NAC069","NAC domain containing protein 69",11
"Bra006048","Bra006048","","","","","","AT5G10110.1","","",12
"Bra034063","Bra034063","","","","","","AT3G09290.1","TAC1","telomerase activator1",12
"Bra001114","Bra001114","PF00579","PTHR10055","KOG2145","6.1.1.2","K01867","AT3G04600.1","","Nucleotidylyl transferase superfamily protein",12
"Bra028740","Bra028740","PF12108,PF11931","PTHR12786","KOG2636","","K12827","AT5G06160.1","ATO","splicing factor-related",12
"Bra033958","Bra033958","PF11721,PF07714,PF00069","PTHR23258","KOG1187","","","AT1G56130.1","","Leucine-rich repeat transmembrane protein kinase",12
"Bra010983","Bra010983","PF07800","","","","","AT1G68140.1","","Protein of unknown function (DUF1644)",12
"Bra012244","Bra012244","PF00505","PTHR13711","","","","AT1G20696.2","HMGB3,NFD03,NFD3","high mobility group B3",12
"Bra018006","Bra018006","PF00141","","","1.11.1.7","K00430","AT3G49120.1","ATPCB,ATPERX34,PERX34,PRX34,PRXCB","peroxidase CB",12
"Bra004604","Bra004604","PF05678","","","","","AT2G41180.1","","VQ motif-containing protein",12
"Bra003527","Bra003527","PF01061,PF08370,PF00005","PTHR19241","KOG0065","","","AT1G59870.1","ABCG36,ATABCG36,ATPDR8,PDR8,PEN3","ABC-2 and Plant PDR ABC-type transporter family protein",12
"Bra000885","Bra000885","PF04398","","","","","AT4G02370.1","","Protein of unknown function, DUF538",12
"Bra018112","Bra018112","PF01263","PTHR10091","KOG1604","5.1.3.3","K01785","AT3G47800.1","","Galactose mutarotase-like superfamily protein",12
"Bra015456","Bra015456","PF00010","","","","","AT1G05805.1","","basic helix-loop-helix (bHLH) DNA-binding superfamily protein",12
"Bra009087","Bra009087","PF00249","","","","","AT5G05090.1","","Homeodomain-like superfamily protein",12
"Bra031648","Bra031648*","PF07690,PF00083","PTHR11600","KOG0254","","","AT1G08920.1","ESL1","ERD (early response to dehydration) six-like 1",12
"Bra031649","Bra031649*","PF07690,PF00083","PTHR11600","KOG0254","","","AT1G08930.1","ERD6","Major facilitator superfamily protein",12
"Bra027093","Bra027093*","PF04144","PTHR10687","KOG3088","","","AT1G61250.1","SC3","secretory carrier 3",12
"Bra027094","Bra027094*","PF05212","","","","","AT1G61240.1","","Protein of unknown function (DUF707)",12
"Bra014865","Bra014865","PF00022","PTHR11937","KOG0676","","K10355","AT3G53750.1","ACT3","actin 3",13
"Bra020082","Bra020082","PF00069,PF07714,PF02230,PF03959,PF03583","PTHR23258","KOG1187","","","AT5G20050.1","","Protein kinase superfamily protein",13
"Bra038233","Bra038233","PF01565","PTHR10801","KOG1262","1.3.1.72","K09828","AT3G19820.1","CBB1,DIM,DIM1,DWF1,EVE1","cell elongation protein / DWARF1 / DIMINUTO (DIM)",13
"Bra034873","Bra034873","PF01169","PTHR12608","KOG2881","","","AT4G13590.1","","Uncharacterized protein family (UPF0016)",13
"Bra014044","Bra014044","PF01764","","KOG4569","","","AT1G45201.1","ATTLL1,TLL1","triacylglycerol lipase-like 1",13
"Bra030319","Bra030319","PF01190","PTHR23201","","","","AT2G21140.1","ATPRP2,PRP2","proline-rich protein 2",13
"Bra000777","Bra000777","PF00234","","","","","AT4G12520.1","","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein",13
"Bra005682","Bra005682*","PF00097","PTHR13363","KOG1039","","","AT5G01520.1","","RING/U-box superfamily protein",13
"Bra005683","Bra005683*","PF04884","PTHR12770","KOG4249","","","AT5G01510.1","RUS5","Protein of unknown function, DUF647",13
"Bra025511","Bra025511*","PF02178,PF03479","","","","","AT1G63470.1","","AT hook motif DNA-binding family protein",13
"Bra025512","Bra025512*","PF02798,PF00043","PTHR11260","KOG0867","","","AT5G41210.1","ATGSTT1,GST10,GSTT1","glutathione S-transferase THETA 1",13
"Bra025513","Bra025513*","PF08772","PTHR12814","KOG2463","","K11883","AT5G41190.1","","",13
"Bra024186","Bra024186*","PF00909","PTHR11730","KOG0682","","","AT4G28700.1","AMT1;4","ammonium transporter 1;4",13
"Bra024187","Bra024187*","PF02309,PF03912","","","","K08903","AT4G28640.3","IAA11","indole-3-acetic acid inducible 11",13
"Bra038081","Bra038081*","PF01789","","","","","AT4G15510.1","","Photosystem II reaction center PsbP family protein",13
"Bra038082","Bra038082*","PF01027","PTHR23291","KOG2322","","K06890","AT4G15470.1","","Bax inhibitor-1 family protein",13
"Bra038083","Bra038083*","PF02714","PTHR13018","KOG1134","","","AT4G15430.2","","ERD (early-responsive to dehydration stress) family protein",13
"Bra038091","Bra038091*","","","","","","AT4G15140.1","","",13
"Bra038092","Bra038092*","PF00067","PTHR19383","KOG0157","","","AT4G15110.1","CYP97B3","cytochrome P450, family 97, subfamily B, polypeptide 3",13
"Bra006233","Bra006233","PF05753","PTHR12861","KOG3317","","K13250","AT5G14030.1","","translocon-associated protein beta (TRAPB) family protein",14
"Bra006456","Bra006456","PF05093","PTHR13273","","","","AT5G18400.2","","Cytokine-induced anti-apoptosis inhibitor 1, Fe-S biogenesis",14
"Bra031165","Bra031165","PF04921","PTHR12722","KOG2894","","K13119","AT2G21150.1","XCT","XAP5 family protein",14
"Bra021037","Bra021037","","","","","","","","",14
"Bra039578","Bra039578","PF00191","PTHR10502","KOG0819","","","AT1G35720.1","ANNAT1,ATOXY5,OXY5","annexin 1",14
"Bra033757","Bra033757","","","","","","AT5G44650.1","AtCEST,CEST","",14
"Bra004782","Bra004782","PF02391","PTHR23404","KOG3307","2.-.-.-","K03635","AT2G43760.1","","molybdopterin biosynthesis MoaE family protein",14
"Bra007174","Bra007174","PF00097","PTHR22766","","","","AT3G55530.1","SDIR1","RING/U-box superfamily protein",14
"Bra000384","Bra000384","PF00275","PTHR21090","KOG0692","2.5.1.19","K00800","AT2G45300.1","","RNA 3\'-terminal phosphate cyclase/enolpyruvate transferase, alpha/beta",14
"Bra022288","Bra022288","PF05700","PTHR13296","KOG3096","","K12861","AT3G18165.1","MOS4","modifier of snc1,4",14
"Bra005798","Bra005798","PF00076,PF00098","PTHR10432","","","","AT5G04280.1","","RNA-binding (RRM/RBD/RNP motifs) family protein with retrovirus zinc finger-like domain",14
"Bra033224","Bra033224","PF01535","PTHR10483","","","","AT1G01970.1","","Tetratricopeptide repeat (TPR)-like superfamily protein",14
"Bra029620","Bra029620","","","","","","AT3G07080.1","","EamA-like transporter family",14
"Bra028193","Bra028193","PF00300","PTHR23029","KOG4754","","","AT2G17280.1","","Phosphoglycerate mutase family protein",14
"Bra039748","Bra039748","PF08597","PTHR21681","KOG4813","","K03245","AT1G66070.1","","Translation initiation factor eIF3 subunit",14
"Bra017723","Bra017723","PF00505","PTHR13711","KOG0381","","","AT2G17560.1","HMGB4,NFD04,NFD4","high mobility group B4",14
"Bra028789","Bra028789","PF00013","PTHR10288","KOG2191","","","AT5G04430.1","BTR1,BTR1L,BTR1S","binding to TOMV RNA 1L (long form)",14
"Bra034815","Bra034815","PF06876","","","","","AT3G11720.3","","Polyketide cyclase/dehydrase and lipid transport superfamily protein",14
"Bra039678","Bra039678","PF02431","","","","","AT1G53520.1","","Chalcone-flavanone isomerase family protein",14
"Bra018872","Bra018872","PF03635","PTHR13673","KOG3682","","","AT1G50730.1","","",14
"Bra005980","Bra005980","PF01379,PF03900","PTHR11557","KOG2892","2.5.1.61","K01749","AT5G08280.1","HEMC","hydroxymethylbilane synthase",14
"Bra027294","Bra027294","PF01208","PTHR12472","KOG2872","","","AT3G14910.1","","",14
"Bra015798","Bra015798*","","PTHR13516","","","","AT1G76020.1","","Thioredoxin superfamily protein",14
"Bra015799","Bra015799*","PF01399,PF08375","PTHR10758","KOG2581","","K03033","AT1G20200.1","EMB2719,HAP15","PAM domain (PCI/PINT associated module) protein",14
"Bra006351","Bra006351*","PF04398","","","","","AT5G16380.1","","Protein of unknown function, DUF538",14
"Bra006352","Bra006352*","PF00364","PTHR18866","","","K02160","AT5G16390.1","BCCP,BCCP-1,BCCP1,CAC1,CAC1-A,CAC1A","chloroplastic acetylcoenzyme A carboxylase 1",14
"Bra011076","Bra011076","PF00378,PF02737,PF00725","PTHR23309","KOG1683","1.1.1.211,1.1.1.35,4.2.1.17","K10527","AT4G29010.1","AIM1","Enoyl-CoA hydratase/isomerase family",15
