"","V1","V9"
"95","Bra003095","plastidic pyruvate kinase beta subunit 1"
"96","Bra004170","plastid movement impaired 2"
"97","Bra005134","plastid-specific ribosomal protein 4"
"98","Bra005357","plastid developmental protein DAG, putative"
"99","Bra005404","plastid transcriptionally active 12"
"100","Bra006425","plastid-specific 50S ribosomal protein 6"
"101","Bra008416","glyceraldehyde-3-phosphate dehydrogenase of plastid 2"
"102","Bra008470","plastid transcriptionally active 17"
"103","Bra008640","plastidic GLC translocator"
"104","Bra009750","plastid transcriptionally active7"
"105","Bra010164","plastidial pyruvate kinase 3"
"106","Bra012523","plastid transcriptionally active 9"
"107","Bra013085","plastid division2"
"108","Bra014663","plastid-specific 50S ribosomal protein 5"
"109","Bra015061","plastidic type i signal peptidase 1"
"110","Bra015889","plastid transcriptionally active 2"
"111","Bra017087","plastid transcriptionally active 14"
"112","Bra017328","plastid developmental protein DAG, putative"
"113","Bra017932","plastid transcriptionally active 6"
"114","Bra019722","glyceraldehyde-3-phosphate dehydrogenase of plastid 1"
"115","Bra019853","plastid developmental protein DAG, putative"
"116","Bra020935","plastid transcriptionally active 14"
"117","Bra022618","plastidic pyruvate kinase beta subunit 1"
"118","Bra023644","plastid-specific 50S ribosomal protein 6"
"119","Bra026068","glyceraldehyde-3-phosphate dehydrogenase of plastid 2"
"120","Bra029084","plastid division1"
"121","Bra032727","plastid transcriptionally active 5"
"122","Bra033802","plastid transcriptionally active 16"
"123","Bra034929","plastid movement impaired1"
"124","Bra036402","plastid developmental protein DAG, putative"
"125","Bra040933","plastidic pyruvate kinase beta subunit 1"
"126","Bra040976","plastid-encoded CLP P"
"127","Bra002276","Plastid-lipid associated protein PAP / fibrillin family protein"
"128","Bra004497","Plastid-lipid associated protein PAP / fibrillin family protein"
"129","Bra004671","Plastid-lipid associated protein PAP / fibrillin family protein"
"130","Bra005337","Plastid-lipid associated protein PAP / fibrillin family protein"
"131","Bra006034","Plastid-lipid associated protein PAP / fibrillin family protein"
"132","Bra013602","Plastid-lipid associated protein PAP / fibrillin family protein"
"133","Bra014946","Plastid-lipid associated protein PAP / fibrillin family protein"
"134","Bra018893","Plastid-lipid associated protein PAP / fibrillin family protein"
"135","Bra037309","Plastid-lipid associated protein PAP / fibrillin family protein"
"136","Bra000736","cytokinin response factor 1"
"137","Bra002371","cytokinin oxidase 7"
"138","Bra002777","cytokinin oxidase 3"
"139","Bra003068","cytokinin response factor 3"
"140","Bra004548","cytokinin response factor 5"
"141","Bra013730","cytokinin response factor 2"
"142","Bra015842","cytokinin oxidase 5"
"143","Bra019118","cytokinin-responsive gata factor 1"
"144","Bra019270","cytokinin response factor 2"
"145","Bra020157","cytokinin oxidase 7"
"146","Bra022643","cytokinin response factor 3"
"147","Bra026295","cytokinin response factor 4"
"148","Bra029079","cytokinin response factor 3"
"149","Bra035640","cytokinin oxidase 3"
"150","Bra001214","Drought-responsive family protein"
"151","Bra009928","Drought-responsive family protein"
"152","Bra020566","Drought-responsive family protein"
"153","Bra029603","Drought-responsive family protein"
"154","Bra029604","Drought-responsive family protein"
"155","Bra033345","Drought-responsive family protein"
"156","Bra036148","Drought-responsive family protein"
"157","Bra000227","dehydration-induced protein (ERD15)"
"158","Bra000789","ERD (early-responsive to dehydration stress) family protein"
"159","Bra002096","Senescence/dehydration-associated protein-related"
"160","Bra004381","Early-responsive to dehydration stress protein (ERD4)"
"161","Bra010507","early-responsive to dehydration stress protein (ERD4)"
"162","Bra010775","Early-responsive to dehydration stress protein (ERD4)"
"163","Bra013587","ERD (early-responsive to dehydration stress) family protein"
"164","Bra017741","Senescence/dehydration-associated protein-related"
"165","Bra018462","Early-responsive to dehydration stress protein (ERD4)"
"166","Bra019731","ERD (early-responsive to dehydration stress) family protein"
"167","Bra020857","ERD (early-responsive to dehydration stress) family protein"
"168","Bra027052","ERD (early-responsive to dehydration stress) family protein"
"169","Bra030747","ERD (early response to dehydration) six-like 1"
"170","Bra031291","Senescence/dehydration-associated protein-related"
"171","Bra033858","early-responsive to dehydration stress protein (ERD4)"
"172","Bra036827","Senescence/dehydration-associated protein-related"
"173","Bra039548","Senescence/dehydration-associated protein-related"
"174","Bra039550","ERD (early-responsive to dehydration stress) family protein"
"175","Bra040870","Senescence/dehydration-associated protein-related"
"176","Bra000234","NADPH-dependent thioredoxin reductase C"
"177","Bra003738","NADP-malic enzyme 4"
"178","Bra004134","cytosolic NADP+-dependent isocitrate dehydrogenase"
"179","Bra004639","NADPH-dependent thioredoxin reductase C"
"180","Bra006107","NADP-malic enzyme 2"
"181","Bra006777","oxidoreductases, acting on NADH or NADPH, quinone or similar compound as acceptor"
"182","Bra009866","NADP-malic enzyme 3"
"183","Bra012203","ferredoxin-NADP(+)-oxidoreductase 2"
"184","Bra023306","NADPH:quinone oxidoreductase"
"185","Bra023336","NADP-malic enzyme 2"
"186","Bra024516","NADPH-dependent thioredoxin reductase A"
"187","Bra025309","NADPH:quinone oxidoreductase"
"188","Bra025645","NADPH-dependent thioredoxin reductase A"
"189","Bra031685","NADPH-dependent thioredoxin reductase A"
"190","Bra038201","cytosolic NADP+-dependent isocitrate dehydrogenase"
"191","Bra039746","cytosolic NADP+-dependent isocitrate dehydrogenase"
"192","Bra041055","NADPH dehydrogenases"
