"V1","V2","V3","V4","V5","V6","V7","V8","V9"
"Bra003063","PF07724,PF07728,PF00004,PF10431","PTHR11262","KOG0745","","K03544","AT5G53350.1","CLPX","CLP protease regulatory subunit X"
"Bra003086","PF00561","PTHR10992","KOG4178","","","AT5G53050.2","","alpha/beta-Hydrolases superfamily protein"
"Bra003147","PF01678","","","5.1.1.7","K01778","AT3G53580.1","","diaminopimelate epimerase family protein"
NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bra003155","PF01158","PTHR10114","KOG3452","","","AT3G53740.2","","Ribosomal protein L36e family protein"
"Bra003159","PF00156","PTHR10285","KOG1017","","","AT3G53900.2","PYRR,UPP","uracil phosphoribosyltransferase"
"Bra003163","PF00582","","","","","AT3G53990.1","","Adenine nucleotide alpha hydrolases-like superfamily protein"
"Bra003190","PF01965","PTHR11019","KOG2764","","","AT3G54600.1","","Class I glutamine amidotransferase-like superfamily protein"
"Bra003209","PF02431","","","","","AT3G55120.1","A11,CFI,TT5","Chalcone-flavanone isomerase family protein"
"Bra003239","PF03106","","","","","AT3G56400.1","ATWRKY70,WRKY70","WRKY DNA-binding protein 70"
"Bra003253","PF07716,PF00170","PTHR22952","","","","AT3G56850.1","AREB3,DPBF3","ABA-responsive element binding protein 3"
"Bra003273","PF00332","","","","","AT3G57240.1","BG3","beta-1,3-glucanase 3"
"Bra003336","PF00180","PTHR11822","KOG1526","1.1.1.42","K00031","AT1G54340.1","ICDH","isocitrate dehydrogenase"
"Bra003355","PF00285","PTHR11739","KOG2617","","","AT3G58750.1","CSY2","citrate synthase 2"
"Bra003396","PF00856","PTHR22884","","","","AT3G59960.1","ASHH4,SDG24","histone-lysine N-methyltransferase ASHH4"
"Bra003434","PF00168","PTHR10774","","","","AT3G61050.1","NTMC2T4,NTMC2TYPE4","Calcium-dependent lipid-binding (CaLB domain) family protein"
"Bra003457","PF00173,PF00487","PTHR19353","KOG4232","","","AT3G61580.1","","Fatty acid/sphingolipid desaturase"
"Bra003471","PF02681","","","","","AT3G61770.1","","Acid phosphatase/vanadium-dependent haloperoxidase-related protein"
"Bra003504","PF01501","","","","","AT3G62660.1","GATL7","galacturonosyltransferase-like 7"
"Bra003512","PF01248,PF01423","PTHR12777","KOG3166","","","AT2G47610.1","","Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein"
"Bra003527","PF01061,PF08370,PF00005","PTHR19241","KOG0065","","","AT1G59870.1","ABCG36,ATABCG36,ATPDR8,PDR8,PEN3","ABC-2 and Plant PDR ABC-type transporter family protein"
"Bra003604","PF00004,PF01434","PTHR23076","KOG0731","3.4.24.-","K03798","AT1G79560.1","EMB1047,EMB156,EMB36,FTSH12","FTSH protease 12"
"Bra003617","PF00581","PTHR11364","KOG1529","2.8.1.1,2.8.1.2","K01011","AT1G79230.1","ATMST1,ATRDH1,MST1,ST1,STR1","mercaptopyruvate sulfurtransferase 1"
"Bra003618","PF10584,PF00227","PTHR11599","KOG0181","3.4.25.1","K02726","AT1G16470.1","PAB1","proteasome subunit PAB1"
"Bra003624","PF04725","","","","K03541","AT1G79040.1","PSBR","photosystem II subunit R"
"Bra003653","PF00153","PTHR11896","KOG0752","","","AT1G78180.1","","Mitochondrial substrate carrier family protein"
"Bra003670","PF00174,PF03404,PF00173,PF00970,PF00175","PTHR19370","KOG0535","1.7.1.1","K00360","AT1G77760.1","GNR1,NIA1,NR1","nitrate reductase 1"
"Bra003705","PF01423","PTHR13110","KOG3460","","K12622","AT1G76860.1","","Small nuclear ribonucleoprotein family protein"
"Bra003716","PF03547","","KOG2722","","","AT1G76520.1","","Auxin efflux carrier family protein"
"Bra003750","PF02270","PTHR10445","KOG2905","3.6.4.12","K03139","AT1G75510.1","","Transcription initiation factor IIF, beta subunit"
"Bra003758","PF02729,PF00185","PTHR11405","KOG1504","2.1.3.3","K00611","AT1G75330.1","OTC","ornithine carbamoyltransferase"
"Bra003765","","PTHR10996","","","","AT1G75180.1","","Erythronate-4-phosphate dehydrogenase family protein"
"Bra003776","PF00380","PTHR21569","KOG1753","","","AT1G74970.1","RPS9,TWN3","ribosomal protein S9"
"Bra003841","PF00076","PTHR15241","KOG0130","","","AT1G73530.1","","RNA-binding (RRM/RBD/RNP motifs) family protein"
"Bra003864","PF01582,PF00931","","","","","AT1G72890.1","","Disease resistance protein (TIR-NBS class)"
"Bra003942","","","","","","AT1G70780.1","",""
"Bra003949","PF04874","PTHR23405","KOG3064","","","AT1G23280.1","","MAK16 protein-related"
"Bra004024","PF02617","","","","K06891","AT1G68660.1","","Ribosomal protein L12/ ATP-dependent Clp protease adaptor protein ClpS family protein"
"Bra004066","","","","","","AT1G67870.1","","glycine-rich protein"
"Bra004094","PF00641","PTHR23111","","","","AT1G67325.2","","Ran BP2/NZF zinc finger-like superfamily protein"
"Bra004101","PF03009","PTHR23344","KOG2258","","","AT4G26690.1","GPDL2,MRH5,SHV3","PLC-like phosphodiesterase family protein"
"Bra004109","PF00501","PTHR11968","KOG1176","6.2.1.12","K01904","AT1G65060.1","4CL3","4-coumarate:CoA ligase 3"
"Bra004113","","","KOG1764","","","AT1G65320.1","","Cystathionine beta-synthase (CBS) family protein"
"Bra004118","PF07766","PTHR14009","KOG1043","","","AT1G65540.1","","LETM1-like protein"
"Bra004138","PF08534,PF00578","PTHR10430","KOG0541","1.11.1.15","K03386","AT1G65980.1","TPX1","thioredoxin-dependent peroxidase 1"
