"","V1","V2","V3","V4","V5","V6","V7","V8","V9","Cluster"
"Bra020188","Bra020188","PF02365","","","","","AT5G22380.1","anac090,NAC090","NAC domain containing protein 90",1
"Bra039880","Bra039880","","PTHR23215","KOG2893","","","AT1G30970.1","SUF4","zinc finger (C2H2 type) family protein",1
"Bra012539","Bra012539*","PF10475,PF07928","PTHR12965","KOG2115","","","AT4G19490.1","ATVPS54,VPS54","VPS54",1
"Bra012540","Bra012540*","PF02362,PF01582,PF00931,PF07725,PF00560,PF08711","","KOG4658","","","AT4G19500.1","","nucleoside-triphosphatases;transmembrane receptors;nucleotide binding;ATP binding",1
"Bra018090","Bra018090*","PF00171","PTHR11699","KOG2450","1.2.1.3","K00128","AT3G48000.1","ALDH2,ALDH2A,ALDH2B4","aldehyde dehydrogenase 2B4",1
"Bra018091","Bra018091*","PF00097","PTHR22764","","","","AT3G47990.1","SIS3","SUGAR-INSENSITIVE 3",1
"Bra019443","Bra019443","","","","","","AT2G42940.1","","Predicted AT-hook DNA-binding family protein",2
"Bra008790","Bra008790","","","","","","AT5G13970.1","","",2
"Bra008628","Bra008628","PF04825,PF04824","PTHR12585","KOG1213","","K06670","AT5G16270.1","ATRAD21.3,SYN4","sister chromatid cohesion 1 protein 4",2
"Bra018922","Bra018922","","","","","","","","",2
"Bra035904","Bra035904","PF00135,PF07859","PTHR23024","KOG1515","","","AT5G62180.1","AtCXE20,CXE20","carboxyesterase 20",2
"Bra011714","Bra011714","PF10288","PTHR20882","KOG2594","","K14169","AT4G35910.1","","Adenine nucleotide alpha hydrolases-like superfamily protein",2
"Bra016190","Bra016190","PF04576","","","","","AT1G70750.1","","Protein of unknown function, DUF593",2
"Bra019704","Bra019704","PF04884","PTHR12770","KOG4249","","","AT1G13770.1","RUS3","Protein of unknown function, DUF647",2
"Bra024214","Bra024214","","","","","","AT4G28260.1","","",2
"Bra035788","Bra035788","","","","","","AT3G20350.1","","",2
"Bra026248","Bra026248","PF08783","PTHR15439","KOG0314","","","AT4G17410.1","","DWNN domain, a CCHC-type zinc finger",2
"Bra007622","Bra007622","PF10644,PF00091,PF03953","PTHR11588","KOG1374","","K10389","AT3G61650.1","TUBG1","gamma-tubulin",2
"Bra031983","Bra031983","PF04727","PTHR12771","","","","AT3G03610.1","","ELMO/CED-12 family protein",2
"Bra002697","Bra002697","","","","","","AT5G57780.1","","",2
"Bra023023","Bra023023","PF05191","PTHR23359","","","","AT5G47840.1","AMK2","adenosine monophosphate kinase",2
"Bra029902","Bra029902","PF00571","PTHR13780","KOG1764","","","AT3G48530.1","KING1","SNF1-related protein kinase regulatory subunit gamma 1",2
"Bra016337","Bra016337","PF02713","","","","","AT1G23580.1","","Domain of unknown function DUF220",2
"Bra003504","Bra003504","PF01501","","","","","AT3G62660.1","GATL7","galacturonosyltransferase-like 7",2
"Bra029697","Bra029697","PF09279,PF00388,PF00387,PF00168","PTHR10336","KOG0169","3.1.4.11","K05857","AT3G08510.1","ATPLC2,PLC2","phospholipase C 2",2
"Bra032565","Bra032565","PF00004","PTHR23077","KOG0736","","K13339","AT1G03000.1","PEX6","peroxin 6",2
"Bra010855","Bra010855","","","","","","AT1G28815.1","","",2
"Bra017698","Bra017698","PF01344","PTHR23230:SF56","","","","AT4G35120.1","","Galactose oxidase/kelch repeat superfamily protein",2
"Bra028011","Bra028011","PF00069,PF07714","PTHR11295","KOG0600","","","AT1G33770.1","","Protein kinase superfamily protein",2
"Bra009745","Bra009745","","","","","","AT5G24280.1","GMI1","gamma-irradiation and mitomycin c induced 1",2
"Bra033526","Bra033526","PF02458","","","","","AT5G48930.1","HCT","hydroxycinnamoyl-CoA shikimate/quinate hydroxycinnamoyl transferase",2
"Bra003024","Bra003024","PF03226","PTHR13847","KOG3399","","","AT5G53940.1","","Yippee family putative zinc-binding protein",2
"Bra028702","Bra028702","PF00153","PTHR11896","KOG0036","","","AT5G07320.1","","Mitochondrial substrate carrier family protein",2
"Bra000880","Bra000880","PF00139,PF00069,PF07714","PTHR23258","KOG1187","","","AT4G02420.1","","Concanavalin A-like lectin protein kinase family protein",2
"Bra005213","Bra005213","PF03641,PF04535","","","","","AT2G37200.1","","Uncharacterised protein family (UPF0497)",2
"Bra018284","Bra018284","PF05097","","","","","AT2G30990.1","","Protein of unknown function (DUF688)",2
"Bra000977","Bra000977","","","","","","AT4G00355.1","","",2
"Bra039184","Bra039184","","","","","","AT4G37450.1","AGP18,ATAGP18","arabinogalactan protein  18",2
"Bra034281","Bra034281","PF00520,PF00027","PTHR10217","KOG0498","","K05391","AT2G46450.1","ATCNGC12,CNGC12","cyclic nucleotide-gated channel 12",2
"Bra019433","Bra019433","PF01433,PF11940","PTHR11533","KOG1046","3.4.11.2","K01256","AT1G63770.5","","Peptidase M1 family protein",2
"Bra013329","Bra013329","","PTHR12902","","","","AT4G18600.1","ATSCAR-LIKE,SCARL,WAVE5","SCAR family protein",2
"Bra013853","Bra013853","","","","","","AT4G24990.1","ATGP4","Ubiquitin family protein",2
"Bra040598","Bra040598","PF00481","PTHR13832","KOG0698","","","AT3G02750.1","","Protein phosphatase 2C family protein",2
"Bra018828","Bra018828","PF11865,PF02259,PF08771,PF00454,PF02260","PTHR11139","KOG0891","","K07203","AT1G50030.1","TOR","target of rapamycin",2
"Bra002890","Bra002890","PF01426,PF05641","","","","","AT5G55600.1","","agenet domain-containing protein / bromo-adjacent homology (BAH) domain-containing protein",2
"Bra011186","Bra011186","PF00520,PF00027","PTHR10217","KOG0498","","K05391","AT4G30360.1","ATCNGC17,CNGC17","cyclic nucleotide-gated channel 17",2
"Bra023900","Bra023900","PF06200,PF06203,PF09425,PF00320","PTHR22949:SF3","","","","AT3G21175.2","GATA24,TIFY2B,ZML1","ZIM-like 1",2
"Bra020737","Bra020737","PF01490,PF03222","PTHR22950","KOG1305","","","AT3G30390.1","","Transmembrane amino acid transporter family protein",2
"Bra009800","Bra009800","PF00097","PTHR22766","","","","AT5G24870.1","","RING/U-box superfamily protein",2
"Bra014074","Bra014074","","","","","","","","",2
"Bra034441","Bra034441","PF02516","PTHR13872","KOG2292","","","AT1G34130.1","STT3B","staurosporin and temperature sensitive 3-like b",2
"Bra020764","Bra020764","PF00917,PF00651","PTHR23230","","","","AT3G06190.1","ATBPM2,BPM2","BTB-POZ and MATH domain 2",2
"Bra010567","Bra010567","PF00083,PF07690","PTHR11600","KOG0254","","","AT4G36670.1","","Major facilitator superfamily protein",2
"Bra002828","Bra002828","PF03106","","","","","AT5G56270.1","ATWRKY2,WRKY2","WRKY DNA-binding protein 2",2
"Bra028401","Bra028401","","PTHR12277","KOG1552","","","AT5G38220.1","","alpha/beta-Hydrolases superfamily protein",2
"Bra030220","Bra030220","PF07173","","","","","AT2G22660.2","","Protein of unknown function (duplicated DUF1399)",2
"Bra000130","Bra000130","PF11721,PF07714,PF00069","PTHR23258","KOG1187","","","AT2G39360.1","","Protein kinase superfamily protein",2
"Bra005172","Bra005172","","","","","","AT2G37678.1","FHY1,FRY1,PAT3","far-red elongated hypocotyl 1",2
"Bra036931","Bra036931","","","KOG2181","","","AT1G43850.1","SEU","SEUSS transcriptional co-regulator",2
"Bra015317","Bra015317","PF00069,PF07714","PTHR11909","KOG1163","2.7.1.-","K00924","AT1G04440.1","CKL13","casein kinase like 13",2
"Bra002265","Bra002265*","PF02341","","","","","AT5G19855.1","","Chaperonin-like RbcX protein",2
"Bra002266","Bra002266*","PF04398","","","","","AT5G19860.1","","Protein of unknown function, DUF538",2
"Bra033053","Bra033053*","PF00069,PF07714","PTHR23258","KOG1187","","","AT3G28690.2","","Protein kinase superfamily protein",2
"Bra033054","Bra033054*","PF01992","PTHR11028","KOG2957","3.6.3.14","K02146","AT3G28715.1","","ATPase, V0/A0 complex, subunit C/D",2
"Bra026875","Bra026875*","PF05739","PTHR19305","","","","AT1G13890.1","ATSNAP30,SNAP30","soluble N-ethylmaleimide-sensitive factor adaptor protein 30",2
"Bra026876","Bra026876*","","","","","","AT1G13880.1","","ELM2 domain-containing protein",2
"Bra027527","Bra027527*","","PTHR14095","KOG2562","","K11583","AT5G44090.1","","Calcium-binding EF-hand family protein",2
"Bra027528","Bra027528*","PF00069,PF07714","PTHR11909","KOG1163","","","AT1G03930.1","ADK1,CKL9ALPHA,CKL9BETA","dual specificity kinase 1",2
"Bra002655","Bra002655*","","PTHR12133","","","","AT5G58375.1","","Methyltransferase-related protein",2
"Bra002656","Bra002656*","PF02421,PF01926","PTHR11649","KOG2486","","","AT5G58370.2","","P-loop containing nucleoside triphosphate hydrolases superfamily protein",2
"Bra008903","Bra008903*","PF00091,PF03953","PTHR11588","KOG1375","","K07375","AT5G12250.1","TUB6","beta-6 tubulin",2
"Bra008904","Bra008904*","","","","","","AT5G12240.2","","",2
"Bra007275","Bra007275*","PF01266","PTHR13847","","","","AT3G56840.1","","FAD-dependent oxidoreductase family protein",2
"Bra007276","Bra007276*","PF07716,PF00170","PTHR22952","","","K14432","AT3G56850.1","AREB3,DPBF3","ABA-responsive element binding protein 3",2
"Bra007277","Bra007277*","PF00076","PTHR10432","KOG4205","","","AT3G56860.1","UBA2A","UBP1-associated protein 2A",2
"Bra007776","Bra007776*","PF00013","PTHR10288","KOG1676","","","AT2G25970.1","","KH domain-containing protein",2
"Bra007777","Bra007777*","PF10604","","","","","AT2G25770.1","","Polyketide cyclase/dehydrase and lipid transport superfamily protein",2
"Bra005620","Bra005620*","PF04652","PTHR12741","","","","AT2G31960.1","ATGSL03,ATGSL3,GSL03","glucan synthase-like 3",2
"Bra005622","Bra005622*","PF04652","PTHR12741","","","","AT1G05570.1","ATGSL06,ATGSL6,CALS1,GSL06,GSL6","callose synthase 1",2
"Bra005624","Bra005624*","PF04652,PF02364","PTHR12741","KOG0916","2.4.1.-","K11000","AT2G31960.1","ATGSL03,ATGSL3,GSL03","glucan synthase-like 3",2
"Bra003087","Bra003087","PF09341","","","","","AT5G53045.1","","",3
"Bra018086","Bra018086","","PTHR12603","KOG2068","","","AT3G48070.1","","RING/U-box superfamily protein",3
"Bra008844","Bra008844","PF09174","PTHR22504","KOG3104","","","AT5G13240.1","","transcription regulators",3
"Bra013156","Bra013156","PF01928","","","","","AT2G11890.1","","adenylate cyclases",3
"Bra019307","Bra019307","PF00230","PTHR19139","KOG0223","","K09872","AT4G00430.1","PIP1;4,PIP1E,TMP-C","plasma membrane intrinsic protein 1;4",3
"Bra032669","Bra032669","PF03901","PTHR22760","KOG2516","2.4.1.130","K03847","AT1G02145.3","ALG12,EBS4","homolog of asparagine-linked glycosylation 12",3
"Bra000028","Bra000028","","","","","","AT2G37920.1","emb1513","copper ion transmembrane transporters",3
"Bra036908","Bra036908","PF04844","","","","","AT4G14860.1","atofp11,OFP11","ovate family protein 11",3
"Bra031058","Bra031058*","PF00190,PF07883","","","","","AT1G18980.1","","RmlC-like cupins superfamily protein",3
"Bra031059","Bra031059*","PF04576","","","","","AT1G18990.1","","Protein of unknown function, DUF593",3
"Bra029201","Bra029201*","PF02365","","","","","AT5G63790.1","ANAC102,NAC102","NAC domain containing protein 102",3
"Bra029202","Bra029202*","PF00097","","","","","AT5G63780.1","SHA1","RING/FYVE/PHD zinc finger superfamily protein",3
"Bra012721","Bra012721*","PF00569,PF00249,PF04433","PTHR12374","KOG0457","","","AT4G16420.1","ADA2B,PRZ1","homolog of yeast ADA2 2B",3
"Bra012722","Bra012722*","PF05421","","","","","AT4G16410.1","","",3
"Bra003617","Bra003617","PF00581","PTHR11364","KOG1529","2.8.1.1,2.8.1.2","K01011","AT1G79230.1","ATMST1,ATRDH1,MST1,ST1,STR1","mercaptopyruvate sulfurtransferase 1",4
"Bra022596","Bra022596","PF03514","","","","","AT5G52510.1","SCL8","SCARECROW-like 8",4
"Bra009625","Bra009625","","PTHR23421:SF7","","","","AT5G01075.1","","Glycosyl hydrolase family 35 protein",4
"Bra004679","Bra004679","PF00010","PTHR10014","","","","AT2G42300.1","","basic helix-loop-helix (bHLH) DNA-binding superfamily protein",4
"Bra039681","Bra039681","PF00753","PTHR11935","KOG0814","","","AT1G53580.1","ETHE1,GLX2-3,GLY3","glyoxalase II  3",4
"Bra001071","Bra001071","PF00447","PTHR10015","KOG0627","","","AT3G02990.1","ATHSFA1E,HSFA1E","heat shock transcription factor A1E",4
"Bra006140","Bra006140","PF00924","","KOG4629","","","AT5G12080.1","ATMSL10,MSL10","mechanosensitive channel of small conductance-like 10",4
"Bra016095","Bra016095","PF00005,PF01061","PTHR19241","KOG0061","","","AT1G71960.1","ABCG25,ATABCG25","ATP-binding casette family G25",4
"Bra025461","Bra025461","","PTHR23160","KOG0978","","","AT5G41790.1","CIP1","COP1-interactive protein 1",4
"Bra014506","Bra014506","","","","","","AT3G60200.1","","",5
"Bra008760","Bra008760","PF00067","PTHR19383","KOG0157","","","AT5G14400.1","CYP724A1","cytochrome P450, family 724, subfamily A, polypeptide 1",5
"Bra033478","Bra033478","PF00301","","","","","AT1G54500.1","","Rubredoxin-like superfamily protein",5
"Bra020622","Bra020622","PF00249","","","","","AT5G29000.2","","Homeodomain-like superfamily protein",5
"Bra012133","Bra012133","PF00010","PTHR12565","","","","AT5G67110.1","ALC","basic helix-loop-helix (bHLH) DNA-binding superfamily protein",5
"Bra004286","Bra004286","PF12579","","","","","AT1G68160.1","","Protein of unknown function (DUF3755)",5
"Bra024029","Bra024029","PF07539,PF06364","PTHR17695","","","","AT4G30990.1","","ARM repeat superfamily protein",5
"Bra039925","Bra039925","PF06241","","","","","AT5G43745.1","","Protein of unknown function (DUF1012)",5
"Bra025725","Bra025725","PF00412,PF12315","PTHR18973","KOG1703","","","AT1G19270.1","DA1","DA1",5
"Bra004998","Bra004998","PF06703","PTHR13085","KOG4072","3.4.-.-","K12947","AT2G39960.1","","Microsomal signal peptidase 25 kDa subunit (SPC25)",5
"Bra025162","Bra025162","PF02985,PF03097","PTHR10648","","","","AT3G25800.1","PDF1,PP2AA2,PR 65","protein phosphatase 2A  subunit A2",5
"Bra036001","Bra036001","PF05703,PF08458","","","","","AT5G43870.1","","Plant protein of unknown function (DUF828) with plant pleckstrin homology-like region",5
"Bra034561","Bra034561","PF00141","","","1.11.1.7","K00430","AT4G33420.1","","Peroxidase superfamily protein",5
"Bra029038","Bra029038","PF00400","PTHR14221","KOG0283","","","AT5G54200.1","","Transducin/WD40 repeat-like superfamily protein",5
"Bra001951","Bra001951","PF10545","","KOG4282","","","AT3G24490.1","","Alcohol dehydrogenase transcription factor Myb/SANT-like family protein",5
"Bra036194","Bra036194","PF00225","PTHR16012","KOG0244","","K10395","AT5G47820.1","FRA1","P-loop containing nucleoside triphosphate hydrolases superfamily protein",5
"Bra003482","Bra003482","PF02362","","","","","AT3G61970.1","NGA2","AP2/B3-like transcriptional factor family protein",5
"Bra031802","Bra031802","PF00378","PTHR11941","KOG1684","3.1.2.4","K05605","AT5G65940.1","CHY1","beta-hydroxyisobutyryl-CoA hydrolase 1",5
"Bra037991","Bra037991","PF00076","PTHR23147","","","","AT1G55310.3","ATSCL33,SCL33,SR33","SC35-like splicing factor 33",5
"Bra029108","Bra029108","PF00579","PTHR10055","KOG2713","6.1.1.2","K01867","AT2G25840.2","OVA4","Nucleotidylyl transferase superfamily protein",5
"Bra026969","Bra026969","PF09335","PTHR12677","","","","AT1G12450.1","","SNARE associated Golgi protein family",5
"Bra015349","Bra015349","PF00097","PTHR22765","","","","AT1G04790.1","","RING/U-box superfamily protein",5
"Bra007682","Bra007682","PF01535","PTHR10483","","","","AT3G62470.1","","Pentatricopeptide repeat (PPR) superfamily protein",5
"Bra038161","Bra038161","PF04795","PTHR21561","","","","AT1G56460.1","","HIT zinc finger ;PAPA-1-like conserved region",5
"Bra000472","Bra000472","PF00169","PTHR22903","","","","AT2G29700.1","ATPH1,PH1","pleckstrin homologue 1",5
"Bra020884","Bra020884","PF03178","PTHR10644","KOG1897","","K10610","AT4G21100.1","DDB1B","damaged DNA binding protein 1B",5
"Bra005077","Bra005077","PF07839","","","","","AT2G38800.1","","Plant calmodulin-binding protein-related",5
"Bra038489","Bra038489","PF07228","PTHR12320","KOG1379","","","AT4G16580.1","","Protein phosphatase 2C family protein",5
"Bra019539","Bra019539","PF01135,PF06325","PTHR11579","KOG1661","","","AT3G48330.1","ATPIMT1,PIMT1","protein-l-isoaspartate methyltransferase 1",5
"Bra025865","Bra025865","PF04640","","","","","AT1G21000.1","","PLATZ transcription factor family protein",5
"Bra031874","Bra031874","PF00106,PF08659,PF01370,PF08643","PTHR19410","KOG1209","","","AT5G65205.1","","NAD(P)-binding Rossmann-fold superfamily protein",5
"Bra013436","Bra013436","PF00583","PTHR13355","","","","AT4G19985.1","","Acyl-CoA N-acyltransferases (NAT) superfamily protein",5
"Bra006283","Bra006283","PF03106","","","","","AT5G15130.1","ATWRKY72,WRKY72","WRKY DNA-binding protein 72",5
"Bra023848","Bra023848","","","","","","AT3G22170.1","FHY3","far-red elongated hypocotyls 3",5
"Bra001136","Bra001136","PF00400,PF11816","PTHR19862","KOG0308","","","AT3G05090.1","LRS1","Transducin/WD40 repeat-like superfamily protein",5
"Bra026998","Bra026998","PF06728","PTHR13121","KOG2552","","","AT1G63110.1","","GPI transamidase subunit PIG-U",5
"Bra018277","Bra018277","","","","","","AT2G31130.1","","",5
"Bra028837","Bra028837","","","","","","AT5G52970.1","","thylakoid lumen 15.0 kDa protein",5
"Bra022867","Bra022867","PF01842,PF10369","","KOG2663","2.2.1.6","K01653","AT2G31810.1","","ACT domain-containing small subunit of acetolactate synthase protein",5
"Bra034297","Bra034297","PF00023","PTHR18958","","","","AT2G26210.1","","Ankyrin repeat family protein",5
"Bra028470","Bra028470","","","","","","AT1G44835.2","","YbaK/aminoacyl-tRNA synthetase-associated domain",5
"Bra035446","Bra035446","PF01490","PTHR22950","KOG1303","","","AT1G58360.1","AAP1,NAT2","amino acid permease 1",5
"Bra004094","Bra004094","PF00641","PTHR23111","","","","AT1G67325.2","","Ran BP2/NZF zinc finger-like superfamily protein",5
"Bra018864","Bra018864","PF00847","","","","","AT1G50640.1","ATERF3,ERF3","ethylene responsive element binding factor 3",5
"Bra009295","Bra009295","PF00808","PTHR10252","KOG1659","","","AT3G12480.1","NF-YC11","nuclear factor Y, subunit C11",5
"Bra029826","Bra029826","PF09713","","","","","AT3G10250.1","","Plant protein 1589 of unknown function",5
"Bra029165","Bra029165","","","","","","","","",5
"Bra029099","Bra029099","PF00561","PTHR10992","KOG4178","","","AT5G53050.2","","alpha/beta-Hydrolases superfamily protein",5
"Bra022108","Bra022108","PF02182","PTHR22884:SF20","","","","AT5G47150.1","","YDG/SRA domain-containing protein",5
"Bra035320","Bra035320","PF00067","PTHR19383","KOG0157","4.2.1.92","K01723","AT5G42650.1","AOS,CYP74A,DDE2","allene oxide synthase",5
"Bra017081","Bra017081","PF03399,PF10075","PTHR12436","KOG1861","","","AT2G39340.1","","SAC3/GANP/Nin1/mts3/eIF-3 p25 family",5
"Bra019154","Bra019154","PF00249","PTHR10641","KOG0048","","K09422","AT4G25560.1","AtMYB18,MYB18","myb domain protein 18",5
"Bra009055","Bra009055","PF00319,PF01486","PTHR11945","KOG0014","","","AT5G10140.1","AGL25,FLC,FLF","K-box region and MADS-box transcription factor family protein",5
"Bra008801","Bra008801","PF00462","PTHR10168","KOG2824","","","AT5G13810.1","","Glutaredoxin family protein",5
"Bra032742","Bra032742","PF00226","PTHR11821","","","","AT4G13830.2","J20","DNAJ-like 20",5
"Bra007105","Bra007105","PF04564,PF00514,PF05804","PTHR22849","","","","AT3G54850.1","ATPUB14,PUB14","plant U-box 14",5
"Bra031360","Bra031360","PF00646","","","","","AT1G22040.1","","Galactose oxidase/kelch repeat superfamily protein",5
"Bra022182","Bra022182","PF00295","","","","","AT3G16850.1","","Pectin lyase-like superfamily protein",5
"Bra009671","Bra009671","","PTHR23125","","","","AT5G23340.1","","RNI-like superfamily protein",5
"Bra026238","Bra026238","","","","","","AT4G17240.1","","",5
"Bra023101","Bra023101","PF00097","PTHR14155","","","","AT2G37150.3","","RING/U-box superfamily protein",5
"Bra039891","Bra039891","","","","","","AT1G02890.1","","AAA-type ATPase family protein",5
"Bra034484","Bra034484","","","","","","","","",5
"Bra019403","Bra019403","","","","","","","","",5
"Bra037862","Bra037862","","PTHR21297","","","","AT4G08540.1","","DNA-directed RNA polymerase II protein",5
"Bra017031","Bra017031","PF01190","","","","","AT2G40113.1","","Pollen Ole e 1 allergen and extensin family protein",5
"Bra040234","Bra040234","PF00010","","","","","AT3G06120.1","MUTE","basic helix-loop-helix (bHLH) DNA-binding superfamily protein",5
"Bra018900","Bra018900","PF01754,PF01428","PTHR10634","KOG3173","","","AT1G51200.1","","A20/AN1-like zinc finger family protein",5
"Bra025165","Bra025165","PF00069,PF07714","PTHR11295","KOG0670","","","AT3G25840.1","","Protein kinase superfamily protein",5
"Bra030996","Bra030996","PF02045","PTHR12632","","","","AT1G17590.1","NF-YA8","nuclear factor Y, subunit A8",5
"Bra000498","Bra000498","PF00118","PTHR11353","KOG0356","","","AT2G28000.1","CH-CPN60A,CPN60A,SLP","chaperonin-60alpha",5
"Bra010405","Bra010405","PF03171","PTHR10209","","","","AT5G24530.1","DMR6","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein",5
"Bra019196","Bra019196","","","","","","AT4G25030.1","","",5
"Bra039495","Bra039495","PF00067","PTHR19383","KOG0156","1.14.-.-","K00517","AT5G36220.1","CYP81D1,CYP91A1","cytochrome p450 81d1",5
"Bra005630","Bra005630","PF01137,PF08268","PTHR11096","","","","AT5G22100.1","","RNA cyclase family protein",5
"Bra005889","Bra005889","","","","","","","","",5
"Bra020763","Bra020763","PF03348","PTHR10383","KOG2592","","","AT3G06170.1","","Serinc-domain containing serine and sphingolipid biosynthesis protein",5
"Bra008663","Bra008663","PF03005","","","","","AT5G15900.1","TBL19","TRICHOME BIREFRINGENCE-LIKE 19",5
"Bra017469","Bra017469","PF00108,PF00109,PF02803","PTHR18919","KOG1390","2.3.1.9","K00626","AT5G47720.5","","Thiolase family protein",5
"Bra019893","Bra019893","","","","","K13173","AT1G10890.1","","",5
"Bra027252","Bra027252","PF00179","PTHR11621","KOG0417","","","AT3G15355.1","PFU1,UBC25","ubiquitin-conjugating enzyme 25",5
"Bra011736","Bra011736","PF09750","PTHR13161","KOG2548","","K13168","AT4G36980.4","","",5
"Bra030813","Bra030813*","PF11721,PF07714,PF00069","PTHR23258","KOG1187","","","AT1G56130.1","","Leucine-rich repeat transmembrane protein kinase",5
"Bra030815","Bra030815*","PF11721,PF07714,PF00069","PTHR23258","KOG1187","","","AT1G56130.1","","Leucine-rich repeat transmembrane protein kinase",5
"Bra007608","Bra007608*","PF07064","PTHR22746","KOG2006","","","AT5G28350.1","","Quinoprotein amine dehydrogenase, beta chain-like; RIC1-like guanyl-nucleotide exchange factor",5
"Bra007609","Bra007609*","PF00295","","","","","AT3G61490.1","","Pectin lyase-like superfamily protein",5
