"","V1","V2","V3","V4","V5","V6","V7","V8","V9","Cluster"
"Bra001536","Bra001536","PF01070,PF03060,PF00478","PTHR10578","KOG0538","1.1.3.15","K11517","AT3G14150.1","","Aldolase-type TIM barrel family protein",4
"Bra028963","Bra028963","","","","","","AT5G55710.1","","",4
"Bra006538","Bra006538","PF00970,PF00175","PTHR19370","KOG0534","1.6.2.2","K00326","AT5G20080.1","","FAD/NAD(P)-binding oxidoreductase",4
"Bra009670","Bra009670","PF00081,PF02777","PTHR11404","KOG0876","","","AT5G23310.1","FSD3","Fe superoxide dismutase 3",4
"Bra017454","Bra017454","","","","","","AT2G01410.1","","NHL domain-containing protein",4
"Bra019384","Bra019384","PF03650","PTHR14154","KOG1589","","","AT4G22310.1","","Uncharacterised protein family (UPF0041)",4
"Bra033489","Bra033489","PF00069,PF07714,PF07189","PTHR22985","KOG0605","","","AT4G14350.3","","AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein",4
"Bra013582","Bra013582","PF07732,PF00394,PF07731","PTHR11709","KOG1263","","","AT4G22010.1","sks4","SKU5  similar 4",4
"Bra020883","Bra020883","PF00097,PF00533","PTHR13763","KOG4362","","","AT4G21070.1","ATBRCA1,BRCA1","breast cancer susceptibility1",4
"Bra011733","Bra011733","PF00557","PTHR10804","KOG2738","3.4.11.18","K01265","AT4G37040.1","MAP1D","methionine aminopeptidase 1D",4
"Bra006622","Bra006622","","","","","","AT5G22340.1","","",4
"Bra009750","Bra009750","","","","","","AT5G24314.1","PDE225,PTAC7","plastid transcriptionally active7",4
"Bra031785","Bra031785","PF01571,PF08669","PTHR13847","KOG2770","2.1.2.10","K00605","AT1G11860.1","","Glycine cleavage T-protein family",4
"Bra002326","Bra002326","PF00166","PTHR10772","KOG1641","","","AT5G20720.1","ATCPN21,CHCPN10,CPN10,CPN20,CPN21","chaperonin 20",4
"Bra009334","Bra009334","PF01379,PF03900","PTHR11557","KOG2892","2.5.1.61","K01749","AT5G08280.1","HEMC","hydroxymethylbilane synthase",4
"Bra015061","Bra015061","PF00717,PF10502","PTHR12383","KOG0171","3.4.21.89","K03100","AT3G24590.1","PLSP1","plastidic type i signal peptidase 1",4
"Bra037671","Bra037671","PF01113,PF05173","PTHR20836","","1.3.1.26","K00215","AT2G44040.1","","Dihydrodipicolinate reductase, bacterial/plant",4
"Bra005175","Bra005175","PF01370,PF01073","PTHR10366","KOG1203","","","AT2G37660.1","","NAD(P)-binding Rossmann-fold superfamily protein",4
"Bra025364","Bra025364","PF02463,PF06470","PTHR18937","KOG0996","","K06675","AT5G48600.2","ATCAP-C,ATSMC3,ATSMC4,SMC3","structural maintenance of chromosome 3",4
"Bra038646","Bra038646","PF00202","PTHR11986","KOG1401","5.4.3.8","K01845","AT5G63570.1","GSA1","glutamate-1-semialdehyde-2,1-aminomutase",4
"Bra037091","Bra037091","PF02421,PF01926,PF06071","PTHR23305","KOG1491","","K06942","AT1G56050.1","","GTP-binding protein-related",4
"Bra001151","Bra001151","PF01267","PTHR10653","KOG0836","","K10364","AT3G05520.2","","Subunits of heterodimeric actin filament capping protein Capz superfamily",4
"Bra013558","Bra013558","PF00849","PTHR10436","KOG1919","","","AT4G21770.1","","Pseudouridine synthase family protein",4
"Bra011565","Bra011565","PF01535","PTHR10483","","","","AT4G34830.1","MRL1","Pentatricopeptide repeat (PPR) superfamily protein",4
"Bra002900","Bra002900","PF02466","PTHR14110","KOG1652","","","AT5G55510.1","","Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein",4
"Bra008602","Bra008602","PF00133,PF09334,PF01406,PF08264,PF10458","PTHR11946","KOG0432","6.1.1.9","K01873","AT5G16715.1","EMB2247","ATP binding;valine-tRNA ligases;aminoacyl-tRNA ligases;nucleotide binding;ATP binding;aminoacyl-tRNA ligases",4
"Bra024062","Bra024062*","PF01553","PTHR10434","KOG2848","2.3.1.51","K00655","AT4G30580.1","ATS2,EMB1995,LPAT1","Phospholipid/glycerol acyltransferase family protein",4
"Bra024063","Bra024063*","PF00483,PF00132","PTHR22572","KOG1322","","","AT4G30570.1","","Glucose-1-phosphate adenylyltransferase family protein",4
"Bra009948","Bra009948*","PF00270,PF00271","PTHR13710","KOG0351","","","AT5G27680.1","RECQSIM","RECQ helicase SIM",4
"Bra009949","Bra009949*","PF00125","PTHR23430","KOG1756","","","AT5G27670.1","HTA7","histone H2A 7",4
"Bra003608","Bra003608*","PF00793","PTHR21057","","","","AT1G79500.1","AtkdsA1","Aldolase-type TIM barrel family protein",4
"Bra003609","Bra003609*","PF01535","PTHR10483","","","","AT1G79490.1","EMB2217","Pentatricopeptide repeat (PPR) superfamily protein",4
"Bra019492","Bra019492*","","","","","","AT3G46890.1","","",4
"Bra019493","Bra019493*","PF00091,PF03953","PTHR11588","KOG1375","","K07375","AT5G62700.1","TUB3","tubulin beta chain 3",4
"Bra008462","Bra008462*","PF07576,PF02148","PTHR10420","KOG0804","6.3.2.19","K10632","AT2G26000.2","BRIZ2","zinc finger (C3HC4-type RING finger) family protein",4
"Bra008463","Bra008463*","PF00180","PTHR11835","KOG0786","1.1.1.85","K00052","AT1G80560.1","ATIMD2,IMD2","isopropylmalate dehydrogenase 2",4
"Bra008464","Bra008464*","PF00180","PTHR11835","KOG0786","","","AT1G80560.1","ATIMD2,IMD2","isopropylmalate dehydrogenase 2",4
"Bra029190","Bra029190*","PF00081,PF02777","PTHR11404","KOG0876","","","AT5G51100.1","FSD2","Fe superoxide dismutase 2",4
"Bra029191","Bra029191*","PF08263,PF00560,PF00069,PF07714","PTHR23258","KOG0472","","","AT3G47580.1","","Leucine-rich repeat protein kinase family protein",4
"Bra030262","Bra030262","PF00514,PF00168","PTHR23315","KOG0166","","","AT2G22125.1","CSI1","binding",5
"Bra017697","Bra017697","PF00230","PTHR19139","KOG0223","","K09872","AT4G35100.1","PIP2;7,PIP3,PIP3A,SIMIP","plasma membrane intrinsic protein 3",5
"Bra000827","Bra000827","PF00560,PF00069,PF07714","PTHR23258","KOG1187","","","AT4G03390.1","SRF3","STRUBBELIG-receptor family 3",5
"Bra009596","Bra009596","PF00225","PTHR16012","KOG0242","","K10403","AT5G02370.1","","ATP binding microtubule motor family protein",5
"Bra005729","Bra005729","PF00106,PF08659,PF01370","PTHR19410","KOG1208","","","AT5G02540.1","","NAD(P)-binding Rossmann-fold superfamily protein",5
"Bra025064","Bra025064","PF00657","PTHR22835:SF27","","","","AT5G45670.1","","GDSL-like Lipase/Acylhydrolase superfamily protein",5
"Bra039986","Bra039986*","PF02953","PTHR11038","KOG3480","","","AT2G29530.1","TIM10","Tim10/DDP family zinc finger protein",5
"Bra039987","Bra039987*","PF00091,PF03953","PTHR11588","KOG1375","","K07375","AT2G29550.1","TUB7","tubulin beta-7 chain",5
"Bra002191","Bra002191","PF01156","PTHR12304","KOG2938","","","AT5G18860.1","","inosine-uridine preferring nucleoside hydrolase family protein",6
"Bra023392","Bra023392","PF01190","","","","","AT5G13140.1","","Pollen Ole e 1 allergen and extensin family protein",6
"Bra023982","Bra023982","","","","","","AT4G31805.1","","WRKY family transcription factor",6
"Bra014326","Bra014326","PF03215,PF00005,PF01061","PTHR19241","KOG0061","","","AT2G01320.1","","ABC-2 type transporter family protein",6
"Bra000483","Bra000483","PF00125,PF00808","PTHR23428","KOG1744","","K11252","AT2G28720.1","","Histone superfamily protein",6
"Bra005235","Bra005235","","","","","","AT2G36885.1","","",6
"Bra012146","Bra012146","PF00134,PF02984","PTHR10177","KOG0656","","K14505","AT5G67260.1","CYCD3;2","CYCLIN D3;2",6
"Bra022147","Bra022147","PF00808,PF00125","PTHR11064","KOG0869","","","AT5G47640.1","NF-YB2","nuclear factor Y, subunit B2",6
"Bra013132","Bra013132","","PTHR13168","","","","AT2G14045.1","","",6
"Bra034775","Bra034775","PF06858","PTHR11702","KOG1490","","","AT1G50920.1","","Nucleolar GTP-binding protein",6
"Bra013339","Bra013339","PF08263","PTHR23258","","","","AT4G18670.1","","Leucine-rich repeat (LRR) family protein",6
"Bra035382","Bra035382","PF07983","","","","","AT5G35740.1","","Carbohydrate-binding X8 domain superfamily protein",6
"Bra013747","Bra013747","PF07728,PF05496,PF00004,PF01434,PF07738","PTHR23076","KOG0731","","","AT4G23940.1","","FtsH extracellular protease family",6
"Bra030877","Bra030877","","","","","","AT1G65710.1","","",6
"Bra019853","Bra019853","","","","","","AT1G11430.1","","plastid developmental protein DAG, putative",6
"Bra008975","Bra008975","PF00046","","","","","AT5G11270.1","OCP3","overexpressor of cationic peroxidase 3",6
"Bra031084","Bra031084*","PF00154,PF08423,PF06745","PTHR22942","KOG1433","","","AT2G19490.1","","recA DNA recombination family protein",6
"Bra031085","Bra031085*","PF12265,PF00400","PTHR22850","KOG0264","","K10752","AT2G19520.1","ACG1,ATMSI4,FVE,MSI4,NFC04,NFC4","Transducin family protein / WD-40 repeat family protein",6
"Bra004177","Bra004177*","PF00574","PTHR10381","KOG0840","3.4.21.92","K01358","AT1G66670.1","CLPP3,NCLPP3","CLP protease proteolytic subunit 3",6
"Bra004178","Bra004178*","PF05175,PF08242,PF08241","PTHR12843","KOG1271","","","AT1G66680.1","AR401","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein",6
"Bra038621","Bra038621*","PF00334","PTHR11349","KOG0888","2.7.4.6","K00940","AT5G63310.1","ATNDPK2,NDPK IA,NDPK IA IA,NDPK1A,NDPK2","nucleoside diphosphate kinase 2",6
"Bra038622","Bra038622*","","PTHR22880:SF2","","","","AT5G63320.1","NPX1","nuclear protein X1",6
"Bra008842","Bra008842","","","","","","AT5G13260.1","","",7
"Bra026039","Bra026039","PF00534","PTHR13036","KOG2941","2.4.1.142","K03842","AT1G16570.1","","UDP-Glycosyltransferase superfamily protein",7
"Bra023164","Bra023164","","","","","","AT1G31175.1","","",7
"Bra009433","Bra009433","","","","","","AT5G04740.1","","ACT domain-containing protein",7
"Bra000294","Bra000294","PF00463","PTHR21631","KOG1260","","","AT2G43180.1","","Phosphoenolpyruvate carboxylase family protein",7
"Bra000901","Bra000901","","","","","","AT4G01995.1","","",7
"Bra036409","Bra036409","PF12263","","","","","AT2G15290.1","ATTIC21,CIA5,PIC1,TIC21","translocon at inner membrane of chloroplasts 21",7
"Bra004853","Bra004853","PF00166","PTHR10772","KOG1641","","","AT2G44650.1","CHL-CPN10,CPN10","chloroplast chaperonin 10",7
"Bra000863","Bra000863","PF01926","PTHR11089","KOG2484","","","AT4G02790.1","","GTP-binding family protein",7
"Bra008766","Bra008766","PF00416","PTHR10871","KOG3311","","","AT5G14320.1","","Ribosomal protein S13/S18 family",7
"Bra033438","Bra033438","PF00076","PTHR10432","KOG0131","","","AT3G52380.1","CP33,PDE322","chloroplast RNA-binding protein 33",7
"Bra006052","Bra006052","PF07977,PF01575","","","4.2.1.-","K02372","AT5G10160.1","","Thioesterase superfamily protein",7
"Bra035101","Bra035101","PF00581","PTHR11364","KOG1529","2.8.1.1,2.8.1.2","K01011","AT1G79230.1","ATMST1,ATRDH1,MST1,ST1,STR1","mercaptopyruvate sulfurtransferase 1",7
"Bra012339","Bra012339","PF07719,PF00515","PTHR23083","","","","AT1G22700.2","","Tetratricopeptide repeat (TPR)-like superfamily protein",7
"Bra008627","Bra008627","PF01582","","","","","AT4G11340.1","","Disease resistance protein (TIR-NBS-LRR class) family",7
"Bra027196","Bra027196","","PTHR23160","KOG0978","","","AT3G16000.1","MFP1","MAR binding filament-like protein 1",7
"Bra018329","Bra018329","PF00698","PTHR10982","KOG2926","2.3.1.39","K00645","AT2G30200.1","","catalytics;transferases;[acyl-carrier-protein] S-malonyltransferases;binding",7
"Bra015315","Bra015315","PF00248","PTHR11732","KOG1575","","","AT1G04420.1","","NAD(P)-linked oxidoreductase superfamily protein",7
"Bra013761","Bra013761","","","","","","AT4G24090.1","","",7
"Bra003776","Bra003776","PF00380","PTHR21569","KOG1753","","","AT1G74970.1","RPS9,TWN3","ribosomal protein S9",7
"Bra012005","Bra012005","PF00248","PTHR11732","KOG1575","","","AT2G27680.1","","NAD(P)-linked oxidoreductase superfamily protein",7
"Bra011314","Bra011314","PF00069,PF07714,PF00155","PTHR11879","KOG1411","2.6.1.1","K00813","AT4G31990.1","AAT3,ASP5,ATAAT1","aspartate aminotransferase 5",7
"Bra017964","Bra017964","PF01063","PTHR11825","KOG0975","2.6.1.42","K00826","AT3G49680.1","ATBCAT-3,BCAT3","branched-chain aminotransferase 3",7
"Bra030306","Bra030306","PF05368,PF01370,PF07993,PF08338","PTHR11092","KOG3019","","K07071","AT2G21280.1","ATSULA,GC1,SULA","NAD(P)-binding Rossmann-fold superfamily protein",7
"Bra039835","Bra039835","PF12263","","","","","AT2G15290.1","ATTIC21,CIA5,PIC1,TIC21","translocon at inner membrane of chloroplasts 21",7
"Bra019667","Bra019667","PF02517","","","","K07052","AT1G14270.1","","CAAX amino terminal protease family protein",7
"Bra006029","Bra006029","PF00719","PTHR10286","KOG1626","3.6.1.1","K01507","AT5G09650.1","AtPPa6,PPa6","pyrophosphorylase 6",7
"Bra035563","Bra035563","PF05697,PF00254,PF05698","","","","","AT5G55220.1","","trigger factor type chaperone family protein",7
"Bra021041","Bra021041","PF00320","PTHR23224:SF215","","","","AT4G17570.3","GATA26","GATA transcription factor 26",7
"Bra025958","Bra025958","PF03446,PF02558","PTHR22981","KOG0409","","","AT1G17650.1","GLYR2,GR2","glyoxylate reductase 2",7
"Bra027127","Bra027127","PF08442","PTHR23118","KOG1254","2.3.3.8","K01648","AT1G60810.1","ACLA-2","ATP-citrate lyase A-2",7
"Bra006597","Bra006597","PF02325","","","","K02221","AT5G21920.1","ATYLMG2,YLMG2","YGGT family protein",7
"Bra031869","Bra031869","","","","","","AT5G65250.1","","",7
"Bra033402","Bra033402","PF01218","PTHR10755","KOG1518","1.3.3.3","K00228","AT1G03475.1","ATCPO-I,HEMF1,LIN2","Coproporphyrinogen III oxidase",7
"Bra023492","Bra023492","","","","","","AT5G14910.1","","Heavy metal transport/detoxification superfamily protein",7
"Bra017342","Bra017342","","","","","","AT3G25910.1","","Protein of unknown function (DUF1644)",7
"Bra011232","Bra011232","PF02789,PF00883","PTHR11963","KOG2597","3.4.11.1","K01255","AT4G30920.1","","Cytosol aminopeptidase family protein",7
"Bra039114","Bra039114","PF07714,PF00069","PTHR23257","KOG0192","","","AT3G01490.1","","Protein kinase superfamily protein",7
"Bra031146","Bra031146","PF00847","","","","","AT2G20880.1","","Integrase-type DNA-binding superfamily protein",7
"Bra007657","Bra007657","PF03283","PTHR21562","KOG4287","","","AT3G62060.1","","Pectinacetylesterase family protein",7
"Bra017499","Bra017499","PF00635","PTHR10809","KOG0439","","","AT5G47180.1","","Plant VAMP (vesicle-associated membrane protein) family protein",7
"Bra036763","Bra036763","PF00829","PTHR21349","KOG1686","","K02888","AT1G35680.1","","Ribosomal protein L21",7
"Bra010018","Bra010018","PF00575","PTHR10724","","","K02945","AT5G30510.1","ARRPS1,RPS1","ribosomal protein S1",7
"Bra033451","Bra033451","PF00076","PTHR10432","KOG0131","","","AT3G52150.1","","RNA-binding (RRM/RBD/RNP motifs) family protein",7
"Bra008476","Bra008476*","","","KOG2878","","","AT1G80380.2","","P-loop containing nucleoside triphosphate hydrolases superfamily protein",7
"Bra008477","Bra008477*","PF00134,PF02984","PTHR10177","KOG0654","","","AT1G80370.1","CYCA2;4","Cyclin A2;4",7
"Bra024366","Bra024366*","PF00170,PF07716","PTHR22952","","","K14431","AT5G65210.1","TGA1","bZIP transcription factor family protein",7
"Bra024367","Bra024367*","PF00831","","KOG3436","","","AT5G65220.1","","Ribosomal L29 family protein",7
"Bra037680","Bra037680*","PF00295","","","","","AT2G43860.1","","Pectin lyase-like superfamily protein",7
"Bra037682","Bra037682*","PF00291","PTHR10314","KOG1252","2.5.1.47","K01738","AT2G43750.1","ACS1,ATCS-B,CPACS1,OASB","O-acetylserine (thiol) lyase B",7
"Bra024138","Bra024138*","PF01663,PF00884","PTHR10151","KOG2645","","","AT4G29680.1","","Alkaline-phosphatase-like family protein",7
"Bra024139","Bra024139*","PF00085","PTHR10438","KOG0907","","","AT4G29670.1","ACHT2","atypical CYS  HIS rich thioredoxin 2",7
"Bra033859","Bra033859*","PF04172","","","","","AT1G32080.1","","membrane protein, putative",7
"Bra033860","Bra033860*","PF00583,PF08445","PTHR13355","","","","AT1G32070.2","ATNSI,NSI","nuclear shuttle interacting",7
"Bra002973","Bra002973*","PF00467","PTHR12903","KOG1708","","","AT5G54600.1","","Translation protein SH3-like family protein",7
"Bra002974","Bra002974*","PF07714,PF00069","PTHR23258","KOG1187","","","AT5G54590.2","CRLK1","Protein kinase superfamily protein",7
"Bra012083","Bra012083","PF01716","","","","K02716","AT5G66570.1","MSP-1,OE33,OEE1,OEE33,PSBO-1,PSBO1","PS II oxygen-evolving complex 1",8
"Bra012252","Bra012252","PF08246,PF00112","PTHR12411","KOG1543","","","AT1G20850.1","XCP2","xylem cysteine peptidase 2",8
"Bra024615","Bra024615","PF00484","PTHR11002","KOG1578","","","AT1G23730.1","ATBCA3,BCA3","beta carbonic anhydrase 3",8
"Bra025223","Bra025223","PF00069,PF07714","PTHR23258","KOG1187","","","AT3G26700.1","","Protein kinase superfamily protein",8
"Bra000240","Bra000240","PF03385","","","","","AT2G41770.1","","Protein of unknown function (DUF288)",8
"Bra003655","Bra003655","","","","","","AT1G78170.1","","",8
"Bra002288","Bra002288","PF03006","PTHR20855","KOG0748","","","AT5G20270.1","HHP1","heptahelical transmembrane protein1",8
"Bra002221","Bra002221","PF00483","PTHR22572","KOG1322","2.7.7.27","K00975","AT5G19220.1","ADG2,APL1","ADP glucose pyrophosphorylase large subunit 1",8
"Bra004244","Bra004244","PF01432","PTHR11804","KOG2089","","","AT1G67690.1","","Zincin-like metalloproteases family protein",8
"Bra019764","Bra019764","PF00574","PTHR10381","KOG0840","3.4.21.92","K01358","AT1G12410.1","CLP2,CLPR2,NCLPP2","CLP protease proteolytic subunit 2",8
"Bra013859","Bra013859","PF00550","PTHR20863","KOG1748","","","AT4G25050.1","ACP4","acyl carrier protein 4",8
"Bra022567","Bra022567","PF00141","","","1.11.1.7","K00430","AT5G51890.1","","Peroxidase superfamily protein",8
"Bra034873","Bra034873","PF01169","PTHR12608","KOG2881","","","AT4G13590.1","","Uncharacterized protein family (UPF0016)",8
"Bra006551","Bra006551*","PF03006","PTHR20855","KOG0748","","","AT5G20270.1","HHP1","heptahelical transmembrane protein1",8
"Bra006552","Bra006552*","PF03006","PTHR20855","","","","AT5G20270.1","HHP1","heptahelical transmembrane protein1",8
"Bra037181","Bra037181*","PF00069,PF07714","PTHR22982","KOG0032","","","AT5G66210.1","CPK28","calcium-dependent protein kinase 28",8
"Bra037182","Bra037182*","PF00970,PF00175","PTHR19384","","","","AT5G66190.1","ATLFNR1,FNR1","ferredoxin-NADP(+)-oxidoreductase 1",8
"Bra024776","Bra024776*","PF02151,PF08755","","","","","AT2G03390.1","","uvrB/uvrC motif-containing protein",8
"Bra024777","Bra024777*","PF01535","PTHR10483","","","","AT2G03380.1","","Pentatricopeptide repeat (PPR) superfamily protein",8
"Bra022979","Bra022979","PF03171,PF00004,PF05496","PTHR23074","KOG0739","","","AT2G34560.2","","P-loop containing nucleoside triphosphate hydrolases superfamily protein",9
"Bra014340","Bra014340","PF00274","PTHR11627","KOG1557","4.1.2.13","K01623","AT2G01140.1","","Aldolase superfamily protein",9
"Bra027635","Bra027635","","PTHR23160","","","","AT1G63300.1","","Myosin heavy chain-related protein",9
"Bra036904","Bra036904","PF00227","PTHR11599","KOG0177","3.4.25.1","K02734","AT3G22630.1","PBD1,PRCGB","20S proteasome beta subunit D1",9
"Bra007738","Bra007738","PF07714,PF00069","PTHR23257","KOG0192","","","AT3G63260.1","ATMRK1","Protein kinase superfamily protein",9
"Bra011047","Bra011047","PF03912","","","","K08903","AT4G28660.1","PSB28","photosystem II reaction center PSB28 protein",9
"Bra037432","Bra037432","PF00862,PF00534","PTHR12526","KOG0853","2.4.1.13","K00695","AT5G49190.1","ATSUS2,SSA,SUS2","sucrose synthase 2",9
"Bra006182","Bra006182","PF00160","PTHR11071","KOG0880","5.2.1.8","K03768","AT5G13120.1","ATCYP20-2,CYP20-2","cyclophilin 20-2",9
"Bra014755","Bra014755","PF01789","","","","K02717","AT3G55330.1","PPL1","PsbP-like protein 1",9
"Bra023418","Bra023418","","","","","","AT5G13510.1","","Ribosomal protein L10 family protein",9
